Date,Action,Ticker,Shares,Price,Total Value
2018-03-09,BUY,ZYDUSWELL.NS,420,244.3,102616.22
2018-03-16,SELL,BIOCON.NS,366,289.15,105817.51
2018-03-16,SELL,GOLDBEES.NS,22,27.17,597.57
2018-03-16,BUY,HEG.NS,190,534.61,101585.37
2018-03-23,SELL,SONATSOFTW.NS,1095,89.2,97659.13
2018-03-23,SELL,IIFL.NS,250,360.17,90032.68
2018-03-23,SELL,ZYDUSWELL.NS,420,222.53,93453.82
2018-03-23,SELL,GOLDBEES.NS,154,27.52,4238.43
2018-03-23,BUY,BSOFT.NS,823,120.45,99142.28
2018-03-23,BUY,JUBLFOOD.NS,443,223.32,98941.39
2018-03-23,BUY,TECHM.NS,210,471.76,99078.78
2018-03-30,SELL,COFORGE.NS,641,157.46,100923.52
2018-03-30,BUY,GOLDBEES.NS,2,27.46,54.92
2018-03-30,BUY,FSL.NS,2409,41.08,98972.5
2018-04-06,SELL,HEG.NS,190,501.23,95224.58
2018-04-06,SELL,GOLDBEES.NS,3861,27.23,105130.31
2018-04-06,BUY,COFORGE.NS,604,164.47,99350.53
2018-04-13,BUY,GOLDBEES.NS,3933,27.7,108956.96
2018-04-20,BUY,GOLDBEES.NS,76,28.05,2131.79
2018-04-27,SELL,TECHM.NS,210,507.44,106551.8
2018-04-27,BUY,GOLDBEES.NS,115,27.9,3208.94
2018-04-27,BUY,ZENSARTECH.NS,478,224.32,107235.47
2018-05-04,SELL,COFORGE.NS,604,187.17,113040.17
2018-05-04,BUY,GOLDBEES.NS,15,27.75,416.28
2018-05-04,BUY,ASHOKLEY.NS,1528,70.14,107190.1
2018-05-11,SELL,GOLDBEES.NS,9,28.17,253.5
2018-05-18,SELL,ASHOKLEY.NS,1528,63.49,97004.15
2018-05-18,BUY,GOLDBEES.NS,26,27.7,720.38
2018-05-18,BUY,MPHASIS.NS,116,925.23,107337.43
2018-05-25,BUY,GOLDBEES.NS,78,27.81,2169.32
2018-06-01,SELL,GOLDBEES.NS,4234,27.65,117039.34
2018-06-22,SELL,FSL.NS,2409,57.59,138720.48
2018-06-22,BUY,USHAMART.NS,4046,27.49,111251.71
2018-06-29,SELL,USHAMART.NS,4046,26.48,107145.86
2018-06-29,BUY,TATAELXSI.NS,90,1222.79,110061.68
2018-07-06,SELL,JUBLFOOD.NS,443,267.83,118638.14
2018-07-06,BUY,GRAPHITE.NS,146,748.12,109235.94
2018-07-20,SELL,ZENSARTECH.NS,478,219.62,104969.83
2018-07-20,BUY,HEG.NS,160,709.14,113474.13
2018-07-27,SELL,MPHASIS.NS,116,936.57,108631.66
2018-07-27,BUY,ADANIENT.NS,917,124.14,113847.78
2018-08-03,SELL,BSOFT.NS,823,168.4,138577.44
2018-08-03,BUY,RHIM.NS,515,225.96,116383.17
2018-08-17,SELL,TATAELXSI.NS,90,1322.19,118985.24
2018-08-17,BUY,ADANIPOWER.NS,18798,6.25,117499.25
2018-08-24,SELL,GRAPHITE.NS,146,788.91,115168.67
2018-08-24,SELL,HEG.NS,160,700.31,112038.38
2018-08-24,BUY,OLECTRA.NS,441,261.07,115142.73
2018-08-24,BUY,BANDHANBNK.NS,176,653.2,114975.35
2018-08-31,SELL,OLECTRA.NS,441,233.36,102901.03
2018-08-31,BUY,GOLDBEES.NS,4771,27.05,129056.53
2018-08-31,BUY,GRANULES.NS,1078,111.73,120453.02
2018-09-07,SELL,BANDHANBNK.NS,176,637.76,112234.48
2018-09-07,SELL,GOLDBEES.NS,63,27.09,1706.59
2018-09-07,BUY,ABFRL.NS,608,195.66,118974.93
2018-09-14,SELL,RHIM.NS,515,224.51,115610.1
2018-09-14,SELL,ADANIPOWER.NS,18798,6.21,116723.91
2018-09-14,SELL,GOLDBEES.NS,160,27.19,4349.24
2018-09-14,BUY,OLECTRA.NS,439,262.82,115387.77
2018-09-14,BUY,INTELLECT.NS,425,271.41,115358.79
2018-09-21,SELL,ADANIENT.NS,917,136.74,125376.9
2018-09-21,SELL,GRANULES.NS,1078,104.05,112150.41
2018-09-21,SELL,ABFRL.NS,608,180.29,109602.84
2018-09-21,SELL,OLECTRA.NS,439,234.06,102741.19
2018-09-21,SELL,INTELLECT.NS,425,239.5,101775.41
2018-09-21,SELL,GOLDBEES.NS,327,27.4,8958.25
2018-09-21,BUY,DCMSHRIRAM.NS,260,415.13,107944.97
2018-09-21,BUY,DIVISLAB.NS,81,1322.37,107122.3
2018-09-21,BUY,WELCORP.NS,765,141.06,107920.97
