,Start,End,Period,Start Value,End Value,Total Return [%],Benchmark Return [%],Max Gross Exposure [%],Total Fees Paid,Max Drawdown [%],Max Drawdown Duration,Total Trades,Total Closed Trades,Total Open Trades,Open Trade PnL,Win Rate [%],Best Trade [%],Worst Trade [%],Avg Winning Trade [%],Avg Losing Trade [%],Avg Winning Trade Duration,Avg Losing Trade Duration,Profit Factor,Expectancy,Sharpe Ratio,Calmar Ratio,Omega Ratio,Sortino Ratio
CGCL,0,1235,1236 days,10000,3103.048966,-68.96951034,-12.12597756,100,0,81.18974607,873 days,3,2,1,242.9908719,50,12.13372665,-74.49422061,12.13372665,-74.49422061,367 days 00:00:00,91 days 00:00:00,0.145256431,-3569.970953,-0.28297949,-0.359875903,0.874570019,-0.310592228
CARBORUNIV,0,1235,1236 days,10000,11997.01589,19.97015893,219.7525745,100,0,30.77345145,340 days,3,3,0,0,66.66666667,18.16830824,-3.542527236,11.71087877,-3.542527236,232 days 00:00:00,143 days 00:00:00,6.637263343,665.6719643,0.332329493,0.179502766,1.070666939,0.500063337
CASTROLIND,0,1235,1236 days,10000,11688.55319,16.88553186,129.4819319,100,0,35.37459438,544 days,4,4,0,0,25,66.07361963,-15.8427535,66.07361963,-10.97325182,343 days 00:00:00,88 days 16:00:00,1.485573341,422.1382966,0.300579999,0.13329701,1.067243866,0.509969222
CEATLTD,0,1235,1236 days,10000,14489.84829,44.89848289,287.7022776,100,0,39.1677789,280 days,3,2,1,863.9679284,50,36.51409591,-0.187008017,36.51409591,-0.187008017,438 days 00:00:00,146 days 00:00:00,194.8890334,1812.94018,0.487325925,0.295500269,1.104439942,0.825612897
CENTRALBK,0,1235,1236 days,10000,28076.74699,180.7674699,262.8808864,100,0,43.01404853,427 days,2,2,0,0,50,194.1116751,-4.537121907,194.1116751,-4.537121907,478 days 00:00:00,89 days 00:00:00,40.84188074,9038.373494,0.980272497,0.828656275,1.259091244,1.609887158
CDSL,0,1235,1236 days,10000,12915.8035,29.15803496,626.9493967,100,0,43.77954696,474 days,2,2,0,0,50,84.99292596,-30.18217627,84.99292596,-30.18217627,399 days 00:00:00,120 days 00:00:00,1.96606801,1457.901748,0.391896101,0.179278181,1.095714275,0.619304486
CENTURYPLY,0,1235,1236 days,10000,10575.37179,5.753717947,325.5714447,100,0,46.20918272,891 days,5,4,1,-898.186095,50,32.59823365,-9.673204697,18.15697586,-8.654978886,199 days 12:00:00,94 days 12:00:00,1.660402274,368.3894724,0.203681684,0.03604811,1.043485394,0.304745792
CERA,0,1235,1236 days,10000,8208.374735,-17.91625265,135.6355128,100,0,52.21706005,532 days,4,3,1,-1153.566369,33.33333333,39.80078818,-26.6173343,39.80078818,-17.68052297,358 days 00:00:00,96 days 00:00:00,0.850576275,-212.6862985,-0.101367872,-0.108461777,0.979058064,-0.152626877
CHALET,0,1235,1236 days,10000,40405.1341,304.051341,600.1669691,100,0,34.31147686,219 days,2,1,1,1811.880029,100,285.9325407,285.9325407,285.9325407,,855 days 00:00:00,,,28593.25407,1.24883749,1.487480502,1.23362709,2.007448102
CHAMBLFERT,0,1235,1236 days,10000,16010.61825,60.10618255,248.1952211,100,0,45.29706699,535 days,2,2,0,0,50,89.66302034,-15.58386961,89.66302034,-15.58386961,436 days 00:00:00,187 days 00:00:00,4.856948501,3005.309127,0.54585894,0.329191983,1.11876735,0.80870532
CHENNPETRO,0,1235,1236 days,10000,38875.09376,288.7509376,1232.831325,100,0,52.18900592,320 days,3,2,1,8321.02713,100,160.196681,17.42681154,88.81174628,,266 days 12:00:00,,,10277.03331,1.058130652,0.945134582,1.262650126,1.717156789
CHOICEIN,0,879,880 days,10000,62622.96342,526.2296342,981.9944231,100,0,17.40865555,85 days,1,0,1,52622.96342,,,,,,,,,,2.84940331,6.549870677,1.641193472,4.776469487
CHOLAHLDNG,0,1235,1236 days,10000,15661.76133,56.61761327,379.3087086,100,0,38.35643775,473 days,4,3,1,223.5995521,33.33333333,76.02454715,-11.89621608,76.02454715,-6.174652242,406 days 00:00:00,85 days 00:00:00,5.422922359,1812.720592,0.593172586,0.369332728,1.119528073,0.960596008
CHOLAFIN,0,1235,1236 days,10000,19717.68672,97.17686723,491.4383443,100,0,31.31385611,271 days,3,2,1,1682.880027,100,78.61437013,0.970636813,39.79250347,,362 days 12:00:00,,,4017.403348,0.781818146,0.708968894,1.139533763,1.167862742
CIPLA,0,1235,1236 days,10000,9676.578634,-3.234213663,112.8385849,100,0,28.13254577,442 days,4,3,1,47.75144316,33.33333333,23.02215856,-14.67440756,23.02215856,-11.4722731,340 days 00:00:00,130 days 00:00:00,0.829196253,-123.7242698,0.05752052,-0.034343699,1.011430286,0.084870874
CUB,0,1235,1236 days,10000,8464.252751,-15.35747249,59.94977603,100,0,45.04387162,710 days,3,2,1,682.3982784,50,3.931137319,-25.12489834,3.931137319,-25.12489834,322 days 00:00:00,134 days 00:00:00,0.117152437,-1109.072764,-0.058647843,-0.106662862,0.98704036,-0.081918898
CLEAN,0,1059,1060 days,10000,7516.094637,-24.83905363,-35.08611482,100,0,28.57652139,452 days,4,4,0,0,0,-0.651013952,-12.68020927,,-6.737414563,,49 days 18:00:00,0,-620.9763407,-0.522754428,-0.327692663,0.839451079,-0.745114251
COALINDIA,0,1235,1236 days,10000,36784.23556,267.8423556,436.1028263,100,0,24.67743125,295 days,2,1,1,540.8443251,100,262.4339124,262.4339124,262.4339124,,791 days 00:00:00,,,26243.39124,1.414069205,1.900827973,1.302012647,2.179287526
COCHINSHIP,0,1235,1236 days,10000,63844.80448,538.4480448,1103.334909,100,0,64.11983009,324 days,2,1,1,-8933.97452,100,627.78779,627.78779,627.78779,,547 days 00:00:00,,,62778.779,1.359008969,1.136713842,1.342449937,2.541664558
COFORGE,0,1235,1236 days,10000,11104.39588,11.04395876,352.5087807,100,0,39.93193629,480 days,4,3,1,832.5372592,66.66666667,12.74752005,-16.50599229,10.93154523,-16.50599229,235 days 00:00:00,138 days 00:00:00,1.164702983,90.61953908,0.257519304,0.078680586,1.053595912,0.368790442
COHANCE,0,121,122 days,10000,10000,0,-26.52801358,0,0,,,0,0,0,0,,,,,,,,,,,,,
COLPAL,0,1235,1236 days,10000,14443.51017,44.43510171,65.86281492,100,0,29.35248092,466 days,3,3,0,0,33.33333333,80.36066964,-11.20143471,80.36066964,-10.50918774,383 days 00:00:00,110 days 12:00:00,3.230819208,1481.170057,0.677823978,0.390720002,1.14964556,1.012077188
CAMS,0,1235,1236 days,10000,12650.86882,26.50868818,229.6256658,100,0,37.57369156,650 days,4,3,1,324.8165259,33.33333333,48.5888648,-13.85752035,48.5888648,-8.779415965,383 days 00:00:00,57 days 00:00:00,2.364579928,775.350764,0.381595077,0.191374567,1.091243419,0.577421243
CONCORDBIO,0,542,543 days,10000,9853.433169,-1.465668313,56.06315948,100,0,42.482067,275 days,1,1,0,0,0,-1.465668313,-1.465668313,,-1.465668313,,146 days 00:00:00,0,-146.5668313,0.149981851,-0.02324727,1.046474654,0.21151467
CONCOR,0,1235,1236 days,10000,10443.79227,4.437922675,48.65303473,100,0,29.1163136,351 days,2,2,0,0,50,25.8634934,-17.02286354,25.8634934,-17.02286354,261 days 00:00:00,115 days 00:00:00,1.260703651,221.8961338,0.173077486,0.044324308,1.050625224,0.234962394
COROMANDEL,0,1235,1236 days,10000,17810.37503,78.10375032,219.364268,100,0,22.59032902,310 days,4,3,1,7346.472512,33.33333333,18.89487413,-9.11072585,18.89487413,-6.139472558,200 days 00:00:00,109 days 00:00:00,1.386898262,154.6341733,0.743120088,0.822647187,1.142503367,1.087382134
CRAFTSMAN,0,1136,1137 days,10000,17574.56525,75.74565247,367.1178255,100,0,43.39346847,457 days,4,3,1,3151.219386,33.33333333,74.95973448,-14.99980826,74.95973448,-9.007021004,445 days 00:00:00,61 days 12:00:00,2.553860513,1474.44862,0.723398708,0.457282296,1.147020803,1.13907413
CREDITACC,0,1235,1236 days,10000,18578.49039,85.7849039,134.4434357,100,0,25.65113767,441 days,3,2,1,3763.658855,100,35.55079082,9.293582466,22.42218664,,205 days 00:00:00,,,2407.415767,0.777770895,0.78248901,1.186750384,1.220612105
CROMPTON,0,1235,1236 days,10000,7134.005411,-28.65994589,3.39790066,100,0,34.73367169,988 days,4,4,0,0,0,-4.871409312,-14.68296448,,-8.010394055,,96 days 06:00:00,0,-716.4986473,-0.493000571,-0.273271668,0.884005279,-0.710192063
CUMMINSIND,0,1235,1236 days,10000,43393.31039,333.9331039,983.5887296,100,0,20.59964407,328 days,2,1,1,5713.917725,100,276.7939266,276.7939266,276.7939266,,795 days 00:00:00,,,27679.39266,1.665049998,2.633722028,1.33820134,2.502773811
CYIENT,0,1235,1236 days,10000,15029.41236,50.29412362,229.5680691,100,0,35.13465819,457 days,4,4,0,0,75,96.47255295,-24.50485939,32.59825381,-24.50485939,119 days 08:00:00,111 days 00:00:00,3.052414291,1257.35309,0.575386895,0.3638927,1.14001898,0.941720477
DCMSHRIRAM,0,1235,1236 days,10000,6284.505525,-37.15494475,326.9058151,100,0,50.88849078,863 days,5,4,1,-455.4017066,0,-0.022598384,-17.67688028,,-9.097656665,,105 days 06:00:00,0,-815.023192,-0.256186812,-0.251879608,0.94089572,-0.391455422
DLF,0,1235,1236 days,10000,17072.56753,70.72567535,388.089252,100,0,29.08308122,456 days,2,2,0,0,100,65.60884643,3.089707482,34.34927696,,250 days 00:00:00,,,3536.283767,0.713367171,0.588366436,1.17490732,1.0237512
DOMS,0,459,460 days,10000,8292.312169,-17.07687831,91.7461421,100,0,27.87086335,232 days,1,1,0,0,0,-17.07687831,-17.07687831,,-17.07687831,,157 days 00:00:00,0,-1707.687831,-0.309698748,-0.495399779,0.926940928,-0.440466777
DABUR,0,1235,1236 days,10000,7267.08311,-27.3291689,4.276219538,100,0,33.16109782,714 days,5,4,1,-484.5984428,0,-0.140517026,-13.01131492,,-6.046035176,,84 days 06:00:00,0,-562.0796119,-0.640359874,-0.271293536,0.847191657,-0.865172965
DALBHARAT,0,1235,1236 days,10000,9055.242058,-9.447579423,155.8162208,100,0,31.32666913,463 days,4,3,1,-382.1656395,33.33333333,20.52399419,-17.24699792,20.52399419,-11.3121373,353 days 00:00:00,47 days 00:00:00,0.751177041,-187.5307676,-0.03133274,-0.09219432,0.99345797,-0.043964225
DATAPATTNS,0,951,952 days,10000,12001.51769,20.01517689,262.6186746,100,0,37.8905212,532 days,3,2,1,-564.1776964,50,39.61921321,-10.00024211,39.61921321,-10.00024211,327 days 00:00:00,159 days 00:00:00,2.837593273,1282.847693,0.372844662,0.191224153,1.077530342,0.585029821
DEEPAKFERT,0,1235,1236 days,10000,23708.16236,137.0816236,956.3650579,100,0,54.07303443,644 days,3,2,1,11925.70657,50,58.61043659,-25.7144987,58.61043659,-25.7144987,316 days 00:00:00,94 days 00:00:00,1.437027681,891.2278972,0.798847986,0.536973306,1.156483342,1.270256916
DEEPAKNTR,0,1235,1236 days,10000,11046.94945,10.46949454,146.4205294,100,0,37.4329567,676 days,3,3,0,0,33.33333333,25.95520835,-11.12628418,25.95520835,-6.220442999,370 days 00:00:00,100 days 00:00:00,1.851550908,348.9831513,0.245638769,0.079716083,1.054877603,0.343288139
DELHIVERY,0,850,851 days,10000,8767.045192,-12.32954808,-11.38249278,100,0,30.98125009,531 days,3,2,1,996.0455299,0,-9.222857143,-14.39475382,,-11.80880548,,94 days 00:00:00,0,-1114.500169,-0.134214154,-0.177122584,0.964204605,-0.182021644
DEVYANI,0,1040,1041 days,10000,4925.94831,-50.7405169,35.87044534,100,0,53.00598841,791 days,5,5,0,0,0,-4.120700844,-25.04326329,,-12.69450708,,76 days 14:24:00,0,-1014.810338,-0.888065618,-0.414759965,0.812444622,-1.267615117
DIVISLAB,0,1235,1236 days,10000,10548.25679,5.482567924,125.0363507,100,0,32.08907031,737 days,3,3,0,0,33.33333333,45.64905513,-22.29780355,45.64905513,-14.54634639,342 days 00:00:00,126 days 12:00:00,1.198805246,182.7522641,0.179858997,0.049509278,1.038458602,0.269876947
DIXON,0,1235,1236 days,10000,34361.11537,243.6111537,724.487989,100,0,31.76452008,525 days,3,3,0,0,66.66666667,235.3508849,-3.910467198,120.9919531,-3.910467198,211 days 12:00:00,129 days 00:00:00,63.29719914,8120.371791,1.281569614,1.384589545,1.331234646,1.936228674
AGARWALEYE,0,181,182 days,10000,10000,0,29.19208266,0,0,,,0,0,0,0,,,,,,,,,,,,,
LALPATHLAB,0,1235,1236 days,10000,4928.403679,-50.71596321,40.65948107,100,0,51.37325638,970 days,5,4,1,-612.7488048,0,-1.245722156,-22.83909046,,-13.34750118,,99 days 12:00:00,0,-1114.711879,-0.932976337,-0.367048449,0.802245307,-1.286218598
DRREDDY,0,1235,1236 days,10000,13462.02532,34.62025323,27.66816048,100,0,16.63670623,297 days,3,2,1,-475.9075663,50,42.49226273,-2.184633593,42.49226273,-2.184633593,523 days 00:00:00,1 days 00:00:00,13.65022995,1968.966445,0.643151977,0.551552761,1.148709776,0.912146455
EIDPARRY,0,1235,1236 days,10000,18662.61651,86.62616514,313.6553896,100,0,32.77820219,310 days,3,2,1,1584.381991,100,51.4775401,12.74433499,32.11093754,,336 days 00:00:00,,,3539.117262,0.685146406,0.617240599,1.138082072,1.083809169
EIHOTEL,0,1235,1236 days,10000,17239.49144,72.39491442,441.7867435,100,0,36.31426586,444 days,4,3,1,-772.895133,66.66666667,85.76830006,-15.93797114,50.5567843,-15.93797114,264 days 12:00:00,139 days 00:00:00,5.358419952,2670.795525,0.619703649,0.480485774,1.130542599,1.02597467
EICHERMOT,0,1235,1236 days,10000,19147.36539,91.47365387,256.007793,100,0,24.74051871,269 days,3,2,1,10016.47073,50,0.180358312,-8.855440215,0.180358312,-8.855440215,143 days 00:00:00,27 days 00:00:00,0.018563367,-434.5526713,0.945982427,0.854709186,1.190126339,1.461080384
ELECON,0,1235,1236 days,10000,32706.23292,227.0623292,5075.614195,100,0,39.40938466,258 days,3,2,1,-4827.159377,50,380.923677,-21.95561564,380.923677,-21.95561564,654 days 00:00:00,136 days 00:00:00,13.54047837,13766.69615,0.952692954,1.063130792,1.183008979,1.51190604
ELGIEQUIP,0,1235,1236 days,10000,30420.65294,204.2065294,378.671629,100,0,38.4468183,340 days,3,3,0,0,66.66666667,120.4123403,-0.010112246,79.2216559,-0.010112246,368 days 12:00:00,11 days 00:00:00,6638.576671,6806.884314,0.940857344,1.011629332,1.207794826,1.590640551
EMAMILTD,0,1235,1236 days,10000,6636.171275,-33.63828725,69.4001447,100,0,39.95287569,456 days,5,5,0,0,0,-0.414877356,-16.29224089,,-7.715972147,,80 days 09:36:00,0,-672.7657451,-0.442363912,-0.285452495,0.897177028,-0.631205495
EMCURE,0,322,323 days,10000,9892.7832,-1.072167998,-1.360268367,100,0,15.46693254,48 days,1,0,1,-107.2167998,,,,,,,,,,0.010684471,-0.078278988,1.003150628,0.016803729
ENDURANCE,0,1235,1236 days,10000,9707.444958,-2.925550421,170.5738381,100,0,40.23902497,638 days,4,3,1,974.4202691,33.33333333,33.94497173,-22.50284814,33.94497173,-19.186265,378 days 00:00:00,105 days 12:00:00,0.635941276,-422.3251037,0.105177827,-0.021695192,1.020745073,0.160494854
ENGINERSIN,0,1235,1236 days,10000,25456.85622,154.5685622,267.0247046,100,0,45.33268604,324 days,2,1,1,-4337.1768,100,197.9403302,197.9403302,197.9403302,,506 days 00:00:00,,,19794.03302,0.894983991,0.700956864,1.210536017,1.404051372
ERIS,0,1235,1236 days,10000,16757.73061,67.57730613,225.0070222,100,0,25.75410143,502 days,4,3,1,6699.057728,33.33333333,24.87634231,-10.89400324,24.87634231,-10.24854691,204 days 00:00:00,63 days 12:00:00,1.030164561,19.55762838,0.705948721,0.63949254,1.146312092,1.104214429
ESCORTS,0,1235,1236 days,10000,11486.90506,14.86905058,210.7788089,100,0,27.29287924,412 days,5,4,1,278.6747478,50,12.67897009,-5.468812372,11.47382477,-5.021387498,166 days 12:00:00,146 days 12:00:00,2.048098963,302.0575776,0.286643197,0.153101207,1.059099153,0.428089491
ETERNAL,0,1035,1036 days,10000,25982.11544,159.8211544,161.3888889,100,0,31.93596303,223 days,2,1,1,2331.172039,100,136.509434,136.509434,136.509434,,381 days 00:00:00,,,13650.9434,1.264894151,1.252190307,1.300052129,2.013953255
EXIDEIND,0,1235,1236 days,10000,27776.7651,177.767651,149.9184446,100,0,28.22503438,336 days,1,1,0,0,100,177.767651,177.767651,177.767651,,553 days 00:00:00,,,17776.7651,1.29722122,1.247625083,1.357033467,2.243425052
NYKAA,0,982,983 days,10000,13872.33944,38.72339437,-30.15531921,100,0,29.21908544,295 days,2,1,1,2890.948644,100,9.813907933,9.813907933,9.813907933,,296 days 00:00:00,,,981.3907933,0.602361225,0.442275219,1.148399802,0.976566074
FEDERALBNK,0,1235,1236 days,10000,13055.71006,30.55710062,375.6127203,100,0,25.25323534,573 days,4,3,1,1377.796922,66.66666667,23.13184528,-7.15156891,12.63879546,-7.15156891,267 days 12:00:00,167 days 00:00:00,3.346216838,559.3043798,0.425624945,0.324409858,1.081676247,0.620318599
FACT,0,1235,1236 days,10000,22176.76817,121.7676817,1872.349727,100,0,47.55684445,435 days,6,5,1,-1811.547162,40,349.5415432,-32.72924411,182.7502356,-22.43222805,204 days 00:00:00,84 days 00:00:00,2.369423005,2797.663067,0.69179122,0.557569701,1.152348003,1.215480644
FINCABLES,0,1235,1236 days,10000,12046.05993,20.46059933,202.975048,100,0,39.2257234,514 days,3,3,0,0,33.33333333,108.4265651,-25.81874859,108.4265651,-23.95396272,370 days 00:00:00,101 days 00:00:00,1.34117157,682.0199778,0.329837368,0.144066877,1.074319357,0.512674104
FINPIPE,0,1235,1236 days,10000,14652.85875,46.52858748,89.28429027,100,0,39.55899665,471 days,2,2,0,0,50,70.04051228,-13.82724887,70.04051228,-13.82724887,501 days 00:00:00,115 days 00:00:00,4.364992409,2326.429374,0.506247513,0.301911117,1.110826786,0.799906828
FSL,0,1235,1236 days,10000,26080.61944,160.8061944,476.5714286,100,0,30.64704566,457 days,3,3,0,0,33.33333333,220.8125889,-18.67958303,220.8125889,-9.355112488,535 days 00:00:00,37 days 00:00:00,9.571976434,5360.20648,0.964724118,1.067693483,1.225949778,1.528738973
FIVESTAR,0,727,728 days,10000,7031.843283,-29.68156717,31.62744978,100,0,38.05913008,258 days,3,3,0,0,33.33333333,2.429149798,-23.56397025,2.429149798,-16.8746278,136 days 00:00:00,59 days 00:00:00,0.075649192,-989.3855723,-0.582628624,-0.425245267,0.866923669,-0.761229554
FORCEMOT,0,1194,1195 days,10000,55095.71034,450.9571034,1603.021973,100,0,37.61006808,430 days,4,3,1,25195.50873,33.33333333,273.281001,-15.64171474,273.281001,-10.34416095,305 days 00:00:00,114 days 00:00:00,11.000631,6633.400539,1.324395747,1.81891387,1.333794393,2.491336487
FORTIS,0,1235,1236 days,10000,26247.90785,162.4790785,720.581304,100,0,28.88318977,516 days,3,2,1,17955.41833,50,0.122192273,-17.17630899,0.122192273,-17.17630899,150 days 00:00:00,132 days 00:00:00,0.007105318,-853.755242,1.040994642,1.141580429,1.190467712,1.603281196
GAIL,0,1235,1236 days,10000,17841.96808,78.4196808,307.2286477,100,0,29.88790309,472 days,3,3,0,0,33.33333333,131.9764706,-17.07101897,131.9764706,-12.16279734,458 days 00:00:00,69 days 12:00:00,4.396678713,2613.98936,0.758049534,0.623862769,1.179952433,1.090993682
GVT&D,0,1235,1236 days,10000,91657.45146,816.5745146,3682.222222,100,0,39.14657893,417 days,3,2,1,23383.48052,50,721.1191438,-16.85254027,721.1191438,-16.85254027,461 days 00:00:00,57 days 00:00:00,35.57874599,29136.98547,1.880598795,2.359570097,1.440641006,3.215357717
GMRAIRPORT,0,1235,1236 days,10000,26515.55517,165.1555517,349.0019011,100,0,28.53211034,386 days,3,2,1,3789.139355,100,95.30712531,16.36245111,55.83478821,,332 days 00:00:00,,,6363.20791,0.973671698,1.169610763,1.204618931,1.467572729
GRSE,0,1235,1236 days,10000,80381.67287,703.8167287,1358.085752,100,0,49.22141618,328 days,3,2,1,2395.232662,100,447.9264335,42.33012945,245.1282815,,394 days 00:00:00,,,33993.2201,1.328591879,1.727997486,1.26456077,2.291518843
GICRE,0,1235,1236 days,10000,28464.64862,184.6464862,249.0789714,100,0,36.06149183,322 days,3,3,0,0,66.66666667,188.0332027,-6.521463204,96.87589702,-6.521463204,302 days 00:00:00,18 days 00:00:00,10.2982684,6154.882873,0.914188032,1.003691177,1.222712759,1.498524543
GILLETTE,0,1235,1236 days,10000,11054.07182,10.54071817,86.97203275,100,0,35.22870393,571 days,4,3,1,-2237.248937,33.33333333,51.27660255,-6.848801377,51.27660255,-6.26395147,383 days 00:00:00,73 days 00:00:00,3.711371298,1097.106918,0.240957732,0.085260357,1.055852846,0.412896579
GLAND,0,1221,1222 days,10000,9338.334002,-6.616659981,6.806998666,100,0,22.64779826,490 days,3,2,1,313.4011138,50,0.207259,-9.9373341,0.207259,-9.9373341,231 days 00:00:00,84 days 00:00:00,0.01878401,-487.533556,-0.007986458,-0.08936808,0.997960718,-0.011971199
GLAXO,0,1235,1236 days,10000,15180.13337,51.80133368,112.2232566,100,0,35.43815171,496 days,3,3,0,0,33.33333333,60.16301164,-4.157416961,60.16301164,-2.633426816,361 days 00:00:00,127 days 12:00:00,7.732510669,1726.711123,0.589940061,0.370168327,1.131355702,0.952744676
GLENMARK,0,1235,1236 days,10000,30833.42932,208.3342932,305.0164562,100,0,30.90199786,260 days,2,1,1,-270.8651588,100,211.0429448,211.0429448,211.0429448,,546 days 00:00:00,,,21104.29448,1.334932295,1.276546536,1.321036538,2.238014315
MEDANTA,0,728,729 days,10000,19580.74576,95.80745763,231.5458937,100,0,28.82907731,415 days,2,1,1,3445.24691,100,61.35498853,61.35498853,61.35498853,,227 days 00:00:00,,,6135.498853,1.370136867,1.387339726,1.340402807,2.171781377
GODIGIT,0,358,359 days,10000,10081.76275,0.817627494,18.87254902,100,0,9.064052639,47 days,1,0,1,81.76274945,,,,,,,,,,0.129394311,0.091719373,1.042301794,0.201005815
GPIL,0,1235,1236 days,10000,1882.550033,-81.17449967,216.6498486,100,0,87.92174891,991 days,6,5,1,292.027891,0,-1.064222117,-64.96458818,,-26.59153118,,93 days 04:48:00,0,-1681.895571,-0.363732604,-0.442781161,0.886472727,-0.406234893
GODFRYPHLP,0,1235,1236 days,10000,32278.34555,222.7834555,1068.507173,100,0,48.27575986,279 days,4,3,1,1512.650787,66.66666667,118.6023663,-3.690195237,82.36651651,-3.690195237,277 days 12:00:00,120 days 00:00:00,57.27261818,6921.898253,0.960558182,0.856466551,1.203027934,1.637243455
GODREJAGRO,0,1235,1236 days,10000,8550.458994,-14.49541006,39.20323568,100,0,35.01553084,685 days,4,4,0,0,25,48.34268659,-21.78787831,48.34268659,-16.67858271,390 days 00:00:00,61 days 16:00:00,0.69681971,-362.3852514,-0.073493246,-0.129063214,0.984213849,-0.114475119
GODREJCP,0,1235,1236 days,10000,9810.744629,-1.892553712,75.21858053,100,0,31.87282558,650 days,4,3,1,-628.8848069,66.66666667,17.33174279,-14.52546757,10.71372595,-14.52546757,261 days 00:00:00,102 days 00:00:00,1.302661125,146.5431453,0.082027529,-0.017653052,1.015019731,0.121534715
GODREJIND,0,1235,1236 days,10000,15768.62207,57.68622066,206.2831611,100,0,35.32571382,428 days,3,2,1,-1263.732567,50,98.92843099,-14.37948538,98.92843099,-14.37948538,417 days 00:00:00,132 days 00:00:00,5.890546807,3516.177316,0.567299458,0.407515325,1.135673836,1.002166918
GODREJPROP,0,1235,1236 days,10000,17508.3023,75.08302298,101.3488067,100,0,41.17788077,555 days,2,2,0,0,50,88.98572349,-7.356481884,88.98572349,-7.356481884,381 days 00:00:00,107 days 00:00:00,11.20637638,3754.151149,0.682618432,0.436796454,1.170545622,1.018231533
GRANULES,0,1235,1236 days,10000,13520.21663,35.20216627,58.15272767,100,0,35.69163722,295 days,2,2,0,0,50,49.51820639,-9.574780537,49.51820639,-9.574780537,366 days 00:00:00,114 days 00:00:00,4.676550719,1760.108313,0.462644883,0.260990356,1.115469182,0.638504909
GRAPHITE,0,1235,1236 days,10000,14252.63462,42.52634616,298.6024942,100,0,32.30704627,376 days,2,1,1,1724.746932,100,25.27887683,25.27887683,25.27887683,,259 days 00:00:00,,,2527.887683,0.563049116,0.341459417,1.176102595,0.858389946
GRASIM,0,1235,1236 days,10000,16614.69622,66.14696223,285.5623219,100,0,24.60782693,428 days,3,2,1,2293.361929,100,30.02614948,10.14195491,20.0840522,,243 days 12:00:00,,,2160.667147,0.824403393,0.657315183,1.178566691,1.215467279
GRAVITA,0,1235,1236 days,10000,69143.49062,591.4349062,4023.122384,100,0,42.54020491,278 days,2,2,0,0,100,419.7949094,33.02071524,226.4078123,,407 days 12:00:00,,,29571.74531,1.362405213,1.810162992,1.283826822,2.362246191
GESHIP,0,1235,1236 days,10000,29243.87919,192.4387919,486.7494824,100,0,37.66353095,324 days,3,2,1,688.1104435,100,175.5685472,3.624920331,89.59673377,,365 days 00:00:00,,,9277.884375,1.067837907,0.989953956,1.214404294,1.68550494
FLUOROCHEM,0,1235,1236 days,10000,12039.09693,20.3909693,679.1162085,100,0,53.48753604,753 days,3,3,0,0,33.33333333,53.69648695,-13.10755087,53.69648695,-11.48062276,346 days 00:00:00,89 days 12:00:00,1.612239975,679.6989768,0.330161779,0.105315927,1.072719219,0.49192241
GUJGASLTD,0,1235,1236 days,10000,6116.48763,-38.8351237,44.86047084,100,0,38.8351237,1035 days,3,3,0,0,33.33333333,1.475938292,-31.16750097,1.475938292,-21.79974464,11 days 00:00:00,159 days 00:00:00,0.025493061,-1294.504123,-0.601019382,-0.347949753,0.847755626,-0.827079829
GMDCLTD,0,1235,1236 days,10000,75480.36859,654.8036859,1549.847519,100,0,42.63239075,390 days,3,2,1,24069.75222,100,148.9414615,106.5168897,127.7291756,,279 days 00:00:00,,,20705.30818,1.390950937,1.915166448,1.343405492,2.312616905
GSPL,0,1235,1236 days,10000,8075.561541,-19.24438459,73.63156432,100,0,44.24198439,426 days,3,3,0,0,33.33333333,14.80544747,-26.49347918,14.80544747,-15.39977709,338 days 00:00:00,73 days 12:00:00,0.424032901,-641.4794862,-0.125157198,-0.138260097,0.970195899,-0.167211325
HEG,0,1235,1236 days,10000,10985.36858,9.853685764,375.9537666,100,0,46.71039533,551 days,3,2,1,1157.208819,50,44.14471849,-31.81741336,44.14471849,-31.81741336,426 days 00:00:00,49 days 00:00:00,0.945991762,-85.92012105,0.262679918,0.060246636,1.061715913,0.401016092
HBLENGINE,0,219,220 days,10000,10103.78357,1.037835659,49.66194534,100,0,0.8846496,1 days,1,0,1,103.7835659,,,,,,,,,,0.826619238,1.95302841,2.182038814,1.522533403
HCLTECH,0,1235,1236 days,10000,11160.77158,11.60771576,129.7736067,100,0,28.69422404,416 days,3,3,0,0,33.33333333,50.38438406,-16.59075944,50.38438406,-13.80692555,375 days 00:00:00,106 days 12:00:00,1.349390561,386.9238588,0.264459518,0.114874228,1.05692688,0.373481979
HDFCAMC,0,1235,1236 days,10000,10695.00541,6.950054088,161.8515337,100,0,40.72305561,670 days,4,3,1,552.2446637,33.33333333,61.24891487,-20.98915989,61.24891487,-20.68911462,382 days 00:00:00,55 days 00:00:00,1.038481297,47.58691506,0.202948594,0.049211413,1.043486923,0.283102688
HDFCBANK,0,1235,1236 days,10000,9705.096745,-2.94903255,73.4314458,100,0,14.66963106,574 days,4,3,1,-103.5508494,33.33333333,2.940565126,-4.144576448,2.940565126,-2.370055661,185 days 00:00:00,129 days 12:00:00,0.594199364,-63.78413519,-0.002175021,-0.059992991,0.999490659,-0.00291316
