,Start,End,Period,Start Value,End Value,Total Return [%],Benchmark Return [%],Max Gross Exposure [%],Total Fees Paid,Max Drawdown [%],Max Drawdown Duration,Total Trades,Total Closed Trades,Total Open Trades,Open Trade PnL,Win Rate [%],Best Trade [%],Worst Trade [%],Avg Winning Trade [%],Avg Losing Trade [%],Avg Winning Trade Duration,Avg Losing Trade Duration,Profit Factor,Expectancy,Sharpe Ratio,Calmar Ratio,Omega Ratio,Sortino Ratio
UBL,0,1235,1236 days,10000,8821.548101,-11.78451899,97.42896552,100,0,32.02988876,983 days,5,5,0,0,40,20.87090737,-15.70128667,12.29877711,-10.98401728,165 days 12:00:00,97 days 16:00:00,0.635989121,-235.6903797,-0.075553022,-0.113490172,0.984961086,-0.107225517
UNITDSPR,0,350,351 days,10000,8497.742283,-15.02257717,20.57859743,100,0,16.62719712,101 days,1,1,0,0,0,-15.02257717,-15.02257717,,-15.02257717,,36 days 00:00:00,0,-1502.257717,-1.704590596,-0.93657,0.417675806,-1.853500975
USHAMART,0,1235,1236 days,10000,48119.12796,381.1912796,2250.97137,100,0,34.32495769,259 days,3,2,1,7507.986151,50,375.0425783,-14.51052249,375.0425783,-14.51052249,636 days 00:00:00,192 days 00:00:00,5.440827885,15305.57091,1.22112879,1.719894085,1.236969538,2.07887542
VGUARD,0,1235,1236 days,10000,13677.64935,36.77649353,123.9987864,100,0,29.39286058,425 days,3,3,0,0,33.33333333,62.41066173,-15.00925069,62.41066173,-7.960145175,607 days 00:00:00,48 days 12:00:00,3.260832103,1225.883118,0.498062247,0.329656097,1.101410582,0.788996069
DBREALTY,0,1235,1236 days,10000,14630.60971,46.30609706,2167.368421,100,0,73.49617514,917 days,4,4,0,0,50,145.4022989,-46.66666667,89.2650885,-31.3491157,208 days 00:00:00,92 days 12:00:00,1.325059143,1157.652427,0.475679536,0.161819018,1.093063854,0.690820923
VTL,0,1235,1236 days,10000,5921.788968,-40.78211032,202.7940669,100,0,62.39199688,932 days,4,4,0,0,25,22.59813135,-26.6373216,22.59813135,-21.41527068,336 days 00:00:00,85 days 16:00:00,0.289023548,-1019.552758,-0.267779517,-0.229756285,0.945139378,-0.385922477
VBL,0,1235,1236 days,10000,49038.32183,390.3832183,724.8342682,100,0,22.02519207,313 days,1,1,0,0,100,390.3832183,390.3832183,390.3832183,,850 days 00:00:00,,,39038.32183,1.494695737,2.720814049,1.292223556,2.371537973
MANYAVAR,0,914,915 days,10000,6019.527665,-39.80472335,-25.9193913,100,0,51.51291172,467 days,4,4,0,0,50,6.151925002,-27.96191099,4.937914178,-26.03517331,15 days 12:00:00,105 days 12:00:00,0.202464281,-995.1180837,-0.83557608,-0.355820977,0.791296721,-1.135306089
VEDL,0,1235,1236 days,10000,13488.87789,34.88877886,998.245234,100,0,48.4948093,517 days,4,3,1,2056.258966,66.66666667,66.03267917,-33.39512848,34.70748564,-33.39512848,191 days 00:00:00,176 days 00:00:00,1.42899039,477.5396399,0.435695149,0.190541751,1.094370623,0.621999394
VENTIVE,0,208,209 days,10000,10000,0,4.607084546,0,0,,,0,0,0,0,,,,,,,,,,,,,
VIJAYA,0,1021,1022 days,10000,15110.11272,51.10112719,61.67197556,100,0,28.2328734,234 days,2,2,0,0,50,87.24539182,-19.30315309,87.24539182,-19.30315309,438 days 00:00:00,104 days 00:00:00,3.647294302,2555.056359,0.562709002,0.562613208,1.125531112,0.96654398
VMM,0,215,216 days,10000,10000,0,30.11703743,0,0,,,0,0,0,0,,,,,,,,,,,,,
IDEA,0,1235,1236 days,10000,10872.60793,8.726079273,-0.228571429,100,0,45.29770445,472 days,2,2,0,0,50,25.41176471,-13.30472103,25.41176471,-13.30472103,287 days 00:00:00,97 days 00:00:00,1.655863378,436.3039636,0.278878153,0.055220419,1.082806226,0.409307595
VOLTAS,0,1235,1236 days,10000,15407.36328,54.07363276,102.077996,100,0,34.64391266,565 days,2,2,0,0,50,59.28245592,-3.270180094,59.28245592,-3.270180094,324 days 00:00:00,179 days 00:00:00,17.53536845,2703.681638,0.615681299,0.393012669,1.14990484,0.882836811
WAAREEENER,0,250,251 days,10000,10517.02636,5.170263554,46.82643235,100,0,14.23067662,33 days,1,0,1,517.0263554,,,,,,,,,,0.449381521,0.534477266,1.169490112,0.687184554
WELCORP,0,1235,1236 days,10000,44464.72299,344.6472299,901.1350124,100,0,34.32983498,243 days,2,1,1,31400.64506,100,30.64077927,30.64077927,30.64077927,,306 days 00:00:00,,,3064.077927,1.16715717,1.612848001,1.217836907,1.797598038
WELSPUNLIV,0,1235,1236 days,10000,10877.88049,8.778804868,102.5244798,100,0,42.46879501,513 days,3,3,0,0,33.33333333,57.37506864,-21.64322724,57.37506864,-16.71519306,275 days 00:00:00,109 days 12:00:00,1.242652892,292.6268289,0.240234115,0.059244312,1.058132246,0.379864333
