,Exit Trade Id,Column,Size,Entry Timestamp,Avg Entry Price,Entry Fees,Exit Timestamp,Avg Exit Price,Exit Fees,PnL,Return,Direction,Status,Position Id
129,129,MANAPPURAM.NS,43.57587329112674,2025-04-30,229.4847869873047,0.0,2025-07-31,252.0947113037109,0.0,985.2471971336818,0.09852471971336818,Long,Closed,129
130,130,MAZDOCK.NS,41.97638738538335,2022-09-30,238.2291717529297,0.0,2023-04-28,368.2550354003906,0.0,5458.016022584856,0.5458016022584856,Long,Closed,130
131,131,MAZDOCK.NS,16.69098072469217,2023-07-31,926.1298828125,0.0,2023-12-29,1125.8094482421875,0.0,3332.8477777018234,0.21560643829275264,Long,Closed,131
132,132,MAZDOCK.NS,7.2605048968782855,2024-07-31,2588.09326171875,0.0,2024-11-29,2287.39794921875,0.0,-2183.1997888745973,-0.11618411011213278,Long,Closed,132
133,133,MAZDOCK.NS,5.448430670823351,2025-04-30,3048.155517578125,0.0,2025-06-30,3234.278564453125,0.0,1014.0785171408425,0.06106087625833535,Long,Closed,133
134,134,MMTC.NS,166.38935530599016,2021-05-31,60.09999847412109,0.0,2021-06-30,56.59999847412109,0.0,-582.3627435709659,-0.05823627435709659,Long,Closed,134
135,135,MRPL.NS,125.16085316250017,2022-05-31,79.89718627929688,0.0,2022-09-30,58.433738708496094,0.0,-2686.3834097700183,-0.26863834097700184,Long,Closed,135
136,136,MRPL.NS,33.7987475811071,2024-03-28,216.38720703125,0.0,2024-05-31,201.1396026611328,0.0,-515.3499313221764,-0.07046444463750196,Long,Closed,136
137,137,NAVA.NS,121.20024041795737,2022-06-30,82.50808715820312,0.0,2022-09-30,89.73004150390625,0.0,875.3026029867306,0.08753026029867306,Long,Closed,137
138,138,NAVA.NS,19.218447998116197,2024-09-30,565.8782958984375,0.0,2024-12-31,486.6385803222656,0.0,-1522.8643531861762,-0.14002960733873698,Long,Closed,138
139,139,NAVA.NS,13.677166956183651,2025-08-29,683.7993774414062,0.0,2025-09-30,647.3519897460938,0.0,-498.4970066255428,-0.053301288210715905,Long,Closed,139
140,140,NBCC.NS,117.64437671691121,2024-01-31,85.00193786621094,0.0,2024-04-30,91.76531982421876,0.0,795.6738549482325,0.07956738549482324,Long,Closed,140
141,141,NETWEB.NS,4.276794650999565,2024-05-31,2338.19970703125,0.0,2024-07-31,2303.72216796875,0.0,-147.45335464212803,-0.014745335464212804,Long,Closed,141
142,142,NETWEB.NS,2.700437616926921,2025-09-30,3648.5,0.0,2025-10-30,4103.89990234375,0.0,1229.7790270339083,0.12481839176202543,Long,Open,142
143,143,NEULANDLAB.NS,2.88614482781849,2023-07-31,3464.8295898437505,0.0,2023-09-29,3678.8818359375,0.0,617.7857829464065,0.061778578294640646,Long,Closed,143
144,144,NEULANDLAB.NS,0.635967891382028,2024-11-29,16695.474609375,0.0,2025-02-28,10602.2197265625,0.0,-3875.1144594755115,-0.364964460452712,Long,Closed,144
145,145,NEWGEN.NS,31.87824936966813,2023-05-31,313.6935119628906,0.0,2023-08-31,425.7516479492188,0.0,3572.2172028723526,0.35722172028723526,Long,Closed,145
146,146,NH.NS,5.923909722566213,2025-03-28,1688.0743408203125,0.0,2025-05-30,1739.802490234375,0.0,306.43288724432387,0.030643288724432387,Long,Closed,146
147,147,NH.NS,4.759816881155832,2025-06-30,2165.30029296875,0.0,2025-07-31,1910.699951171875,0.0,-1211.8510048328098,-0.11758200126958065,Long,Closed,147
148,148,NLCINDIA.NS,40.42220778924397,2023-12-29,247.38876342773443,0.0,2024-01-31,253.09886169433597,0.0,230.81477862957036,0.023081477862957035,Long,Closed,148
149,149,OFSS.NS,1.0605458807786934,2024-06-28,9429.1064453125,0.0,2024-07-31,10538.3955078125,0.0,1176.4519458272334,0.11764519458272334,Long,Closed,149
150,150,OIL.NS,25.990643431818263,2024-03-28,384.75384521484375,0.0,2024-04-30,397.5095520019531,0.0,331.5290268245826,0.03315290268245826,Long,Closed,150
151,151,OIL.NS,18.6051413683021,2024-07-31,555.3050537109375,0.0,2024-08-30,714.89501953125,0.0,2969.1938750494137,0.28739152426908504,Long,Closed,151
152,152,OLECTRA.NS,17.848178927993754,2021-10-29,560.28125,0.0,2022-03-31,668.5731201171875,0.0,1932.8126742986224,0.19328126742986224,Long,Closed,152
153,153,OLECTRA.NS,12.283904879691509,2023-06-30,971.4185180664062,0.0,2023-09-29,1200.277099609375,0.0,2811.277046574951,0.2355921544490507,Long,Closed,153
154,154,PAYTM.NS,13.176966238367008,2024-10-31,758.9000244140625,0.0,2025-03-28,783.4500122070312,0.0,323.4943603002703,0.032349436030027025,Long,Closed,154
155,155,PCBL.NS,17.872471234582623,2024-09-30,559.5197143554688,0.0,2024-10-31,398.0862731933594,0.0,-2885.214533469487,-0.2885214533469486,Long,Closed,155
156,156,PGEL.NS,244.83595848817083,2021-05-31,40.84367370605469,0.0,2021-07-30,37.50623321533203,0.0,-817.1254414433133,-0.08171254414433134,Long,Closed,156
